  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4408                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.6799   0.00000  -0.00108  -0.1010   0.0000   0.0000
  -9.500  -0.6215   0.00000  -0.00105  -0.1014   0.0000   0.0000
  -9.000  -0.5630   0.00000  -0.00102  -0.1017   0.0000   0.0000
  -8.500  -0.5045   0.00000  -0.00099  -0.1021   0.0000   0.0000
  -8.000  -0.4459   0.00000  -0.00097  -0.1025   0.0000   0.0000
  -7.500  -0.3873   0.00000  -0.00094  -0.1028   0.0000   0.0000
  -7.000  -0.3287   0.00000  -0.00092  -0.1032   0.0000   0.0000
  -6.500  -0.2700   0.00000  -0.00090  -0.1036   0.0000   0.0000
  -6.000  -0.2113   0.00000  -0.00088  -0.1040   0.0000   0.0000
  -5.500  -0.1526   0.00000  -0.00086  -0.1045   0.0000   0.0000
  -5.000  -0.0940   0.00000  -0.00084  -0.1049   0.0000   0.0000
  -4.500  -0.0352   0.00000  -0.00082  -0.1053   0.0000   0.0000
  -4.000   0.0235   0.00000  -0.00081  -0.1058   0.0000   0.0000
  -3.500   0.0822   0.00000  -0.00080  -0.1062   0.0000   0.0000
  -3.000   0.1409   0.00000  -0.00079  -0.1067   0.0000   0.0000
  -2.500   0.1995   0.00000  -0.00078  -0.1072   0.0000   0.0000
  -2.000   0.2582   0.00000  -0.00077  -0.1076   0.0000   0.0000
  -1.500   0.3169   0.00000  -0.00076  -0.1081   0.0000   0.0000
  -1.000   0.3755   0.00000  -0.00076  -0.1086   0.0000   0.0000
  -0.500   0.4341   0.00000  -0.00075  -0.1091   0.0000   0.0000
   0.000   0.4926   0.00000  -0.00075  -0.1096   0.0000   0.0000
   0.500   0.5512   0.00000  -0.00075  -0.1101   0.0000   0.0000
   1.000   0.6096   0.00000  -0.00075  -0.1106   0.0000   0.0000
   1.500   0.6681   0.00000  -0.00076  -0.1111   0.0000   0.0000
   2.000   0.7265   0.00000  -0.00076  -0.1117   0.0000   0.0000
   2.500   0.7848   0.00000  -0.00077  -0.1122   0.0000   0.0000
   3.000   0.8430   0.00000  -0.00078  -0.1128   0.0000   0.0000
   3.500   0.9012   0.00000  -0.00079  -0.1133   0.0000   0.0000
   4.000   0.9594   0.00000  -0.00080  -0.1139   0.0000   0.0000
   4.500   1.0174   0.00000  -0.00081  -0.1144   0.0000   0.0000
   5.000   1.0754   0.00000  -0.00083  -0.1150   0.0000   0.0000
   5.500   1.1333   0.00000  -0.00085  -0.1155   0.0000   0.0000
   6.000   1.1911   0.00000  -0.00087  -0.1161   0.0000   0.0000
   6.500   1.2488   0.00000  -0.00089  -0.1167   0.0000   0.0000
   7.000   1.3065   0.00000  -0.00091  -0.1173   0.0000   0.0000
   7.500   1.3640   0.00000  -0.00094  -0.1179   0.0000   0.0000
   8.000   1.4214   0.00000  -0.00097  -0.1185   0.0000   0.0000
   8.500   1.4787   0.00000  -0.00099  -0.1191   0.0000   0.0000
   9.000   1.5359   0.00000  -0.00103  -0.1197   0.0000   0.0000
   9.500   1.5930   0.00000  -0.00106  -0.1203   0.0000   0.0000
  10.000   1.6500   0.00000  -0.00109  -0.1209   0.0000   0.0000
  10.500   1.7068   0.00000  -0.00113  -0.1215   0.0000   0.0000
  11.000   1.7635   0.00000  -0.00117  -0.1221   0.0000   0.0000
  11.500   1.8201   0.00000  -0.00121  -0.1227   0.0000   0.0000
  12.000   1.8765   0.00000  -0.00125  -0.1233   0.0000   0.0000
  12.500   1.9328   0.00000  -0.00129  -0.1239   0.0000   0.0000
  13.000   1.9890   0.00000  -0.00134  -0.1246   0.0000   0.0000
  13.500   2.0450   0.00000  -0.00138  -0.1252   0.0000   0.0000
  14.000   2.1008   0.00000  -0.00143  -0.1258   0.0000   0.0000
  14.500   2.1565   0.00000  -0.00148  -0.1265   0.0000   0.0000
  15.000   2.2120   0.00000  -0.00153  -0.1271   0.0000   0.0000
  15.500   2.2674   0.00000  -0.00159  -0.1277   0.0000   0.0000
  16.000   2.3225   0.00000  -0.00164  -0.1284   0.0000   0.0000
  16.500   2.3775   0.00000  -0.00170  -0.1290   0.0000   0.0000
  17.000   2.4324   0.00000  -0.00176  -0.1296   0.0000   0.0000
  17.500   2.4870   0.00000  -0.00182  -0.1303   0.0000   0.0000
  18.000   2.5415   0.00000  -0.00188  -0.1309   0.0000   0.0000
  18.500   2.5957   0.00000  -0.00194  -0.1315   0.0000   0.0000
  19.000   2.6498   0.00000  -0.00201  -0.1322   0.0000   0.0000
  19.500   2.7036   0.00000  -0.00207  -0.1328   0.0000   0.0000
  20.000   2.7573   0.00000  -0.00214  -0.1334   0.0000   0.0000
  20.500   2.8107   0.00000  -0.00221  -0.1341   0.0000   0.0000
  21.000   2.8640   0.00000  -0.00228  -0.1347   0.0000   0.0000
  21.500   2.9170   0.00000  -0.00235  -0.1354   0.0000   0.0000
  22.000   2.9698   0.00000  -0.00242  -0.1360   0.0000   0.0000
  22.500   3.0223   0.00000  -0.00249  -0.1366   0.0000   0.0000
  23.000   3.0747   0.00000  -0.00257  -0.1373   0.0000   0.0000
  23.500   3.1268   0.00000  -0.00264  -0.1379   0.0000   0.0000
  24.000   3.1787   0.00000  -0.00272  -0.1385   0.0000   0.0000
  24.500   3.2303   0.00000  -0.00280  -0.1391   0.0000   0.0000
  25.000   3.2817   0.00000  -0.00288  -0.1398   0.0000   0.0000
